Text,Lexicon,Emotion,Sentiment,Mood
dont want exame corona want promotion without exam,promotion(eu),Neutral,Positive,Moderate
carona spreading high rate cant bear anymore loss teacher fellow student kindly arrange online exam promote alternate plan,high(eu),Neutral,Neutral,Moderate
random studentsyar hony mdcat repeater krun mar jaun feeling han,repeater(eu),Neutral,Neutral,Moderate
imran khan buzdar please regularise sse teacher aeos without ppsc restlessness prevailing among 1100 ss aeo,khan(ru),Fear,Negative,Bad
people support strong armed force institution without political interference doesnt become next libya syria,people(eu),Neutral,Neutral,Moderate
fuck gon close school 300 death due covid,close(eu),Neutral,Neutral,Moderate
best ankar imran khan form gnn news love lala,ankar(ru),Anger,Negative,Bad
information minister punjab venomous minister everything appease imran khan finally posted,khan(ru),Fear,Negative,Bad
imran khan hilaf bolo chlay army hilaf bolay pakistan dunya jeenay haq cheen lay,khan(ru),Fear,Negative,Bad
khan,khan(ru),Fear,Negative,Bad
parallel universe imran khan ghabrana,khan(ru),Fear,Negative,Bad
like imran khan,khan(ru),Fear,Negative,Bad
pok,lex not found,Neutral,Neutral,Moderate
prevention better cure,prevention(eu),Anticipation,Positive,Good
asked order pak ranger take case investigate terrorist attack karachi law order police supporting terrorist,pak(ru),Trust,Positive,Good
emandar insan iqtdar mien sary chor bahi bahi ban jaty emandar insan zameer eman sabh bhari parta inshallah mulk chor zaror hisab kitab denagyi support imran khan,chor(ru),Disgust,Negative,Bad
want promotion either online exam cancel exam corona peak,promotion(eu),Neutral,Positive,Moderate
imran khan chay astifa kun hamry pyary mulk pakistan tabha cheez barbard rony lag isy vote dala,khan(ru),Fear,Negative,Bad
pakistani slave zardari nawaz fazal rehman others open eye countryman see foe friend support robber support imran khan,fazal(ru),Anticipation,Positive,Good
dear banning pml like karachi wrong leaguees wrong still giving pml chance gave another chance,dear(eu),Neutral,Positive,Moderate
play chess let fun begin,fun(ru),Anticipation,Positive,Good
tala taba barbad krein aisay hukamrano jine bolo mehngai kam bijli ge sasti kehte nro nae undr dal chor chor lakh lantt imran khan tuj,taba(ru),Fear,Negative,Bad
1314 year old biggest crush imran khan ngl man hot dharna day dont blame,khan(ru),Fear,Negative,Bad
promotion yah online exam,promotion(eu),Neutral,Positive,Moderate
pls delay mdcat cant prepare new syllabus,delay(eu),Anger,Negative,Bad
raise voice aafia,raise(eu),Neutral,Neutral,Moderate
corona increasing day day,day(eu),Neutral,Neutral,Moderate
case increasing day day dont want risk life promote mbbs student second wave already started,case(eu),Fear,Negative,Bad
comnode515066,lex not found,Neutral,Neutral,Moderate
ss aeos punjab need regularisation without ppsc already recruited nt plz solve issue,solve(eu),Neutral,Neutral,Moderate
ss aeos punjab need regularisation without ppsc already recruited nt plz solve issue,solve(eu),Neutral,Neutral,Moderate
case increasing day day dont want risk life promote mbbs student second wave already started,case(eu),Fear,Negative,Bad
erdogan imran khan mahathir mohammed dont bother much opportunist panelist support radicalism question secularism,khan(ru),Fear,Negative,Bad
want promotion without proff think wont eligible doctor getting promoted like good news nle test knowledge,doctor(ru),Trust,Positive,Good
corona 2nd wave positive case increasing high speed conducting exam situation good want promotion,wave(eu),Neutral,Neutral,Moderate
trying write something positive person dislike wholeheartedlyrather every single person dislike wan add something write something disliked one free avail chance imran khan never discus ex,khan(ru),Fear,Negative,Bad
jiggar meera chakkar saman abbad chakkar ore baad wazarton chakkar samajh ghuma phira wohi log dobara wazeer bnana 200 banday milen jani tujhay,baad(ru),Anger,Negative,Bad
attention kpk district cabinet notify mother wing except malakand division need speedy action malakand division cabinet notify cabinet asap,attention(eu),Neutral,Positive,Moderate
case increasing day day dont want risk life promote mbbs student second wave already started let live,case(eu),Fear,Negative,Bad
imran khan performance whole narrative nro gave nro firdaus awan today asim bajwa jahangir tareen amir kiyani aleem khan aleema khan moonis ilahi given nro already,khan(ru),Fear,Negative,Bad
khan non elected information ministry farg dill kush 2bra punjab information ministry dana samaj bahair,khan(ru),Fear,Negative,Bad
ham pagal study chor protest time laga rhe,pagal(ru),Anger,Negative,Bad
waleed ahmad jutt support prime minister islamic republic pakistan imran khan,khan(ru),Fear,Negative,Bad
nleague fallen much hatred imran khan even care country become threat security countryour intelligence agency investigate behind antinational rhetoric,khan(ru),Fear,Negative,Bad
plus get actual revenue service tax user recovered due wire cable service actual user data end,actual(eu),Neutral,Positive,Moderate
sir pls raise point mdcat delay pls sir pls,sir(eu),Trust,Positive,Good
business sector also get business online banking sector get revenue monthly charge dth service pakistan,business(eu),Neutral,Neutral,Moderate
pmc destroying future delay mdcat bring pmdc back want justice,destroying(eu),Anger,Negative,Bad
imran khan say bring system like china country namely oneparty system mean country pushed presidential system,khan(ru),Fear,Negative,Bad
launch dth technology need pakistan launching technology unemployed get thousand job province ministry technology work hard,launch(eu),Anticipation,Positive,Good
dont let student hardwork vain delay exam week compensate time wasted dont play student future,student(eu),Neutral,Neutral,Moderate
exam important life,exam(eu),Neutral,Neutral,Moderate
ajj pori dunya tareekh aisa disorganized paper lya gya wrong utne hazar bache bakwas rahey answerable day insha,tareekhi(ru),Surprise,Positive,Good
respected mam please tweet update regarding pef school payment kind word consolation pef school disastrous situation hope,respected(eu),Neutral,Neutral,Moderate
5200 220,lex not found,Neutral,Neutral,Moderate
please promote take online exam pandemic dangerous medical student well,promote(eu),Neutral,Neutral,Moderate
gone year struggle already please dont sacrifice life,year(eu),Neutral,Neutral,Moderate
covid 2nd wave getting hand end exam,wave(eu),Neutral,Neutral,Moderate
case increasing day day dont want risk life promote mbbs student second wave already started,case(eu),Fear,Negative,Bad
cant risk life going college single corona positive tested patient infect others around increase corona virus even,aground(ru),Fear,Negative,Bad
exam important life,exam(eu),Neutral,Neutral,Moderate
unable digest removal important,unable(eu),Sadness,Negative,Bad
indian muslim didnt walk pic imran khan pulwama attack,khan(ru),Fear,Negative,Bad
france product,product(eu),Neutral,Neutral,Moderate
atleast delay exam week compensate time wasted provide carbon copy cuz pmc proved trustworthy,delay(eu),Anger,Negative,Bad
health precious proff,health(eu),Neutral,Neutral,Moderate
carbo copy right,copy(eu),Neutral,Negative,Moderate
shame policy,shame(eu),Disgust,Negative,Bad
play chess let fun begin,fun(ru),Anticipation,Positive,Good
lateefa sunao mujy ilam,lex not found,Neutral,Neutral,Moderate
trending peoplementionsusers pakistan 02nov20 204728,trending(eu),Neutral,Neutral,Moderate
condemn move ghq peon imran khan declare gilgit baltistan province demand pakistan withdraw armed force jammu kashmir promised resolution,khan(ru),Fear,Negative,Bad
want nmdcat delayed,delayed(eu),Neutral,Negative,Moderate
promotion solution kmu promote student corona case increase day,promotion(eu),Neutral,Positive,Moderate
going criticize imran khan trying recall promise,khan(ru),Fear,Negative,Bad
delay mdcat,delay(eu),Anger,Negative,Bad
dont want exam corona want promotion without exam,exam(eu),Neutral,Neutral,Moderate
corona pandemic really dangerous health,pandemic(eu),Fear,Negative,Bad
maryam aurangzeb say anything happens hamza shehbaz shehbaz shareef imran khan responsible lol imran khan jesay inka baap inki life honay wali cheez responsible kuch nayi story banao porana,shareef(ru),Trust,Positive,Good
prime minister hold dinner ally 5th november,prime(eu),Interest,Positive,Good
respected management province punjab please look towards massive education system punjabpef beauty education entire country appeal plz release remaining due pef partner make process streamlined,appeal(ru),Anticipation,Positive,Good
imran khan last word humiliation come humiliated,khan(ru),Fear,Negative,Bad
ban every product france,ban(eu),Disgust,Negative,Bad
covid 2nd wave getting hand end exam,wave(eu),Neutral,Neutral,Moderate
foj chez halka rhi magr imran khan khud foj waqar izat dao laga dia haiphle log dabay alfaz third empire boot trah alfaz bat krte thay khule aam foj tanqid horhiimran khan zalil adi foj,khan(ru),Fear,Negative,Bad
kaisa insaf mulk bare choru protocol marzi gariyo ate jail sahuliyat bat ghar khane bat kaisa insaf,insaf(ru),Trust,Positive,Good
imran khan come swat friday welcome,khan(ru),Fear,Negative,Bad
jinping broken many mosque imprisoned many uighur muslim chinawhy dont imran khan erdogan preach,khan(ru),Fear,Negative,Bad
indian muslim didnt burnt effigy musharraf kargil attack indian muslim didnt slap effigy nawaz shariff mumbai terror attack indian muslim didnt walk pic imran khan pulwama attack indian muslim holding massive rally,khan(ru),Fear,Negative,Bad
second wave corona life risk,wave(eu),Neutral,Neutral,Moderate
delay nmdcat,delay(eu),Anger,Negative,Bad
showing door soon sack spinmasterstage drama actorlike source,showing(eu),Neutral,Neutral,Moderate
pleasee,lex not found,Neutral,Neutral,Moderate
covid19 2nd wave,wave(eu),Neutral,Neutral,Moderate
ignored life value promotion save mass infection,life(eu),Neutral,Neutral,Moderate
daily increase number case demand,daily(eu),Anticipation,Positive,Good
raise voice aafia,raise(eu),Neutral,Neutral,Moderate
listen demand plz delay test wasted day give atleast week,listen(eu),Neutral,Neutral,Moderate
pakistan imran khan,khan(ru),Fear,Negative,Bad
congratulation firdous ashiq awan,lex not found,Neutral,Neutral,Moderate
imran kisikonronahidoonga khan gotten firdous ashiq awan appointed info minister punjab party put allegation corruption earlier year hota leader hota vision,khan(ru),Fear,Negative,Bad
imran khan hypocrite liar chairman bilawal bhutto zardari,khan(ru),Fear,Negative,Bad
2nd wave corona spreading horribly either promote take online might victim covid 2nd wave,wave(eu),Neutral,Neutral,Moderate
today two piece akhid bharat imran khan would sport minister government india modi cabinet,khan(ru),Fear,Negative,Bad
imran khan hypocrite liar chairman bilawal bhutto zardari,khan(ru),Fear,Negative,Bad
demand,demand(eu),Anger,Negative,Bad
imran khan hypocrite liar chairman bilawal bhutto zardari,khan(ru),Fear,Negative,Bad
people rejected nawaz reposed full confidence prime minister imran khan,khan(ru),Fear,Negative,Bad
people hate trump needlessly sometimes dont like trump dont compare imran khan modi matlab kuch,khan(ru),Fear,Negative,Bad
maaf kardo agar field gaye han test delay,field(eu),Neutral,Neutral,Moderate
plz dont risk life,risk(eu),Anticipation,Negative,Good
usman mushtaq support prime minister islamic republic pakistan imran khan,khan(ru),Fear,Negative,Bad
help help,lex not found,Neutral,Neutral,Moderate
pmc,lex not found,Neutral,Neutral,Moderate
pakistan safe hand pakistan army best army world inshallah leadership prime minister imran khan pakistan defeat crisis also face internal enemy force,khan(ru),Fear,Negative,Bad
imran khan closed chapter release aafia siddiqui completion statement election shes daughter,khan(ru),Fear,Negative,Bad
sacrifice honor mother father prophet muhammad protester demanded imran khan puppet jew christian announce boycott french product government level expel french ambassador pakistan,khan(ru),Fear,Negative,Bad
sacrifice honor mother father prophet muhammad protester demanded imran khan puppet jew christian announce boycott french product government level expel french ambassador pakistan,khan(ru),Fear,Negative,Bad
imran khan think brigthful future nothing instead increase tax inflation take loan close educational instituations contructional work road favourite anyone answer isa westron mind playboy,khan(ru),Fear,Negative,Bad
400 aney wala rashan month 700 thanks imran khan sahib,khan(ru),Fear,Negative,Bad
dear non elected minister 150 elected mpa punjab,dear(eu),Neutral,Positive,Moderate
sacrifice honor mother father prophet muhammad protester demanded imran khan puppet jew christian announce boycott french product government level expel french ambassador pakistan,khan(ru),Fear,Negative,Bad
examsbc zone life death jaan jahan hopefully reqst mentioned respectful personality please raise voice,zone(eu),Neutral,Neutral,Moderate
promote without proff incase establishment forgotten let remind medicose also contract corona dont need delay online exam time,promote(eu),Neutral,Neutral,Moderate
sacrifice honor mother father prophet muhammad protester demanded imran khan puppet jew christian announce boycott french product government level expel french ambassador pakistan,khan(ru),Fear,Negative,Bad
life important exam please promote,life(eu),Neutral,Neutral,Moderate
people dyingits examhave mercy uspromote,people(eu),Neutral,Neutral,Moderate
sacrifice honor mother father prophet muhammad protester demanded imran khan puppet jew christian announce boycott french product government level expel french ambassador pakistan,khan(ru),Fear,Negative,Bad
sacrifice honor mother father prophet muhammad protester demanded imran khan puppet jew christian announce boycott french product government level expel french ambassador pakistan,khan(ru),Fear,Negative,Bad
muje jukna aata yahi imran khan kehte sitting londonbadmouthing maligning state institution tradition mn vigilant nation known illintentions pdmboycotted greater interest nation,khan(ru),Fear,Negative,Bad
covid19 going fatal time,fatal(eu),Anger,Negative,Bad
sacrifice honor mother father prophet muhammad protester demanded imran khan puppet jew christian announce boycott french product government level expel french ambassador pakistan,khan(ru),Fear,Negative,Bad
sacrifice honor mother father prophet muhammad protester demanded imran khan puppet jew christian announce boycott french product government level expel french ambassador pakistan,khan(ru),Fear,Negative,Bad
sacrifice honor mother father prophet muhammad protester demanded imran khan puppet jew christian announce boycott french product government level expel french ambassador pakistan,khan(ru),Fear,Negative,Bad
bilawal bhutto zardari said prime minister imran khan liar playing politics corruption year power corruption increased,khan(ru),Fear,Negative,Bad
38pp nawaz league call imran khan selected imran khan camp call nawaz league leadership selected principle selected,khan(ru),Fear,Negative,Bad
covid19 case rising day medical student spent13 month many month awaiting going spent month instead year cant risk life,case(eu),Fear,Negative,Bad
play chess let fun begin,fun(ru),Anticipation,Positive,Good
32imran khan making announcement another time deliver rather making announcement,khan(ru),Fear,Negative,Bad
shame removed raising voice imran indian agent,shame(eu),Disgust,Negative,Bad
2nd wave corona spreading horribly either promote take online might victim covid 2nd wave,wave(eu),Neutral,Neutral,Moderate
bar phir army chif imran khan apil rqst krta hoon plz marium nawaz ayaz sadik awais noorani mahmoud achkzaie isfandyar wali gulam dastgir ehsan iqbal asif urgnt arest saza mout log gaddar,khan(ru),Fear,Negative,Bad
galiwali khae nahin nahin chicha,lex not found,Neutral,Neutral,Moderate
benefit govt impose new timing future follows office 700am 400pm shop 900am 600pm hotel 900am 100pm,benefit(eu),Neutral,Positive,Moderate
boycott started french president condoning disrespectful caricature unless apology condemnation come let boycott continue muslim must recognize power,boycott(eu),Fear,Negative,Bad
huwa din bool kun chup lag gai die name holy prophet muhammad pbuh,din(eu),Neutral,Negative,Moderate
qom dekhegi mathe paseena aata taangen kanpti hen human mir jafar mir sadiq mir ayaz sadiq jese logon samna,samna(ru),Anticipation,Positive,Good
strongly condemn blasphemy holy prophetsaw demand deportation netherlands ambassador locking embassy,strongly(eu),Neutral,Positive,Moderate
temple vandalized minor girl converted pakistan paki medium like west islamiophobia boht barh gya imran khan sahb neend,khan(ru),Fear,Negative,Bad
punjab information minster bnya lkh lanat,lanat(ru),Anger,Negative,Bad
sahab read constitution pakistan taking voilation decision warna government girana achy ataa hamay,read(eu),Neutral,Neutral,Moderate
listen demand,listen(eu),Neutral,Neutral,Moderate
listen demand,listen(eu),Neutral,Neutral,Moderate
never underestimate imran khan fayyaz hasan may get even bigger ministry cant waste talent like nope,khan(ru),Fear,Negative,Bad
support imran khan seriously drama need stop faiz hassan chohan firdous fawad chaudry shabli faraz sadaqat abbasi threat pakistan feel gouri mouth cant handle medium,khan(ru),Fear,Negative,Bad
sir hamari help kyo rhy,sir(eu),Trust,Positive,Good
gallery thousand pic imran khan mother flying chappal mother going mobile,khan(ru),Fear,Negative,Bad
imran khan ansar abbasi disclosed land club islamabad taken lease rent re100 acre used debauchery elite said matter shame source pakistan plundered malpractitioners nexus,khan(ru),Fear,Negative,Bad
imran khan great leader pakistan,khan(ru),Fear,Negative,Bad
imran khan page area occupied land 352 acre please arrange redeem expensive land utilised house constructed low income section countryhe disclosed bar servant allowed ahead show etc,khan(ru),Fear,Negative,Bad
minister information changed punjab fifth time need seriously think real problem governance ministry information,minister(eu),Neutral,Neutral,Moderate
covid19 2nd wave,wave(eu),Neutral,Neutral,Moderate
shb kaoi khuda khof phala punjab ajoba havla hua ajoba add surat phase koai qualified log jin punjab information minster laga ska,khof(ru),Fear,Negative,Bad
dont want corona exam want promotion without exam,exam(eu),Neutral,Neutral,Moderate
kon kahan imran khan day,khan(ru),Fear,Negative,Bad
1123 case reported last hour either online exam exam cant risk life,case(eu),Fear,Negative,Bad
please delay mdcat student still trying figure syllabus country education system youve changed syllabus give time,delay(eu),Anger,Negative,Bad
khuda wasta sir,sir(eu),Trust,Positive,Good
maybe imran khan decided fayaz chauhanss talent deserves bigger ministry praise last week,khan(ru),Fear,Negative,Bad
dudh mangoge kheer denge dudh mangoge kheer denge kashmir mangoge tumhari cheer denge jai hind,cheer(eu),Anticipation,Positive,Good
mln spreading fake news meeting nawaz sharif jahangir tareen sahib pti old member request tareen sahib contradict baseless propaganda trying defame tareen sahib,sahib(ru),Trust,Positive,Good
time come destroy pakistan world mapit burden earth pakistani,time(eu),Anticipation,Positive,Good
110115,lex not found,Neutral,Neutral,Moderate
keeping view rising 2nd wave covid19 uncertainty situation request kmu promote medical student without prof,keeping(eu),Neutral,Neutral,Moderate
started trending pakistan firdous ashiq awan zalmi imran khan joe biden spotify indian army smart karachi jerry,khan(ru),Fear,Negative,Bad
trending peoplementionsusers pakistan 02nov20 194743,trending(eu),Neutral,Neutral,Moderate
firdous apas reappointment yet another example imran khan meritocracy thank prime minister mehr tarar probably,khan(ru),Fear,Negative,Bad
indian muslim didnt burnt effigy musharraf kargil attack indian muslim didnt slap effigy nawaz shariff mumbai terror attack indian muslim didnt walk pic imran khan pulwama attack indian muslim holding massive rally,khan(ru),Fear,Negative,Bad
imran khan hypocrite since come power increase hunger rising inflation poverty unemployment 15th november people get rid imran khan,khan(ru),Fear,Negative,Bad
removed punjab info department best candidate punjab hold info dept heaven sake dont get pressure bunch goon hit hard,department(eu),Neutral,Neutral,Moderate
naya pakistan promised student get road protest issue solved,student(eu),Neutral,Neutral,Moderate
hoping imran khan poster road mumbai like macron pulwama attack killed indian soldier,khan(ru),Fear,Negative,Bad
indian muslim didnt burnt effigy musharraf kargil attack indian muslim didnt slap effigy nawaz shariff mumbai terror attack indian muslim didnt walk pic imran khan pulwama attack,khan(ru),Fear,Negative,Bad
ss aeos demand immediate regularization without condition,demand(eu),Anger,Negative,Bad
conduct ppsc exam nt recruited educator serving department year beyond logic injustice,conduct(eu),Neutral,Neutral,Moderate
ss aeos punjab need regularisation without ppsc already recruited nt plz solve issue,solve(eu),Neutral,Neutral,Moderate
sse teacher aeos selected passing nt test departmental interview performing well kindly regularise,teacher(eu),Trust,Positive,Good
want justice want transperancy system corrupt vcs lier shame pmc,justice(eu),Trust,Positive,Good
ask imran khan didnt come last two year suddenly feel come election time imran khan people government,khan(ru),Fear,Negative,Bad
online exam best option situation university taken online exam take online exam promote,exam(eu),Neutral,Neutral,Moderate
imran khanduring tenure trying give softer image pakistan globally gesture order better foreign policy pmln anti state statement trying let vein shame le beast,tenure(eu),Neutral,Neutral,Moderate
mrhamid meer nation learn history bare roller master turn like imran khan,khan(ru),Fear,Negative,Bad
stay strong,stay(eu),Neutral,Neutral,Moderate
love imran khan,khan(ru),Fear,Negative,Bad
luv imran khanwe believe soo muchinsallah ghdaar nii bch skte,ghadaar(ru),Fear,Negative,Bad
1080,lex not found,Neutral,Neutral,Moderate
1949,lex not found,Neutral,Neutral,Moderate
didnt allocated seat recent please consider,seat(eu),Neutral,Neutral,Moderate
balochistan pakistan,lex not found,Neutral,Neutral,Moderate
pakistan,lex not found,Neutral,Neutral,Moderate
every troll imran khan picture display picture iks picture somewhere header ptis name anywhere bio always end 100x abusive regular troll,khan(ru),Fear,Negative,Bad
imran khan hypocrite liar chairman bilawal bhutto zardari,khan(ru),Fear,Negative,Bad
pakistani minister belonging pak imran khan pti party openly targeted republic issued challenge republic senior consulting editor referring raw director hamare taraf major sahab bahat bahat badhayi,pak(ru),Trust,Positive,Good
play chess let fun begin,fun(ru),Anticipation,Positive,Good
request medical student everyone use hashtag make trend twitter dont forget tag khyber news,request(eu),Neutral,Neutral,Moderate
aeos ss waiting regularization since 2014 govt showing totally irresponsible attitude,waiting(eu),Neutral,Neutral,Moderate
khudara mat kheloo hamary mustakbil,mat(eu),Neutral,Neutral,Moderate
single word condemnation pol leader neither ruling party much hypocrisy,single(eu),Neutral,Neutral,Moderate
support imran khan,khan(ru),Fear,Negative,Bad
cant stay hostel increasing covid case,stay(eu),Neutral,Neutral,Moderate
close school,close(eu),Neutral,Neutral,Moderate
literally selling country good buyer sell chinaindia easily buy island money duniya taraaki pakistan bikne mailol best pakistan,literally(eu),Neutral,Neutral,Moderate
school baand kardo please,school(eu),Trust,Positive,Good
prime minister announced provisional provincial status gilgit baltistan without mandatory constitutional amendment yesterday announcement carry legal value empowered parliament make announcement,prime(eu),Interest,Positive,Good
khi pls jani ily sign krdou jani agle election hojaonga ksm khuda tumko vote dung band krdou school pls,band(ru),Neutral,Neutral,Moderate
people rejected nawaz reposed full confidence prime minister imran khan,khan(ru),Fear,Negative,Bad
giving comfort enemy narrative due spite man pakistan,man(ru),Neutral,Neutral,Moderate
110 shame,shame(eu),Disgust,Negative,Bad
ppl fall promise made ali amin giving thousand crore good infrastructure considering comparison wht used coming power ground reality,fall(eu),Sadness,Negative,Bad
pok,lex not found,Neutral,Neutral,Moderate
aamna taseer shahbaz taseer ceo shehryar taseer committing crime daily time worker paying salary pending last many year,crime(eu),Anger,Negative,Bad
imran khan paka qasim ali follower,khan(ru),Fear,Negative,Bad
replying,lex not found,Neutral,Neutral,Moderate
education pakistan ruined due poor planning government,education(eu),Neutral,Neutral,Moderate
secretary school education said bod meeting pef autonomous body bod fully empowered murad ra interrupted respectfully madm please please resolve matter prime minister,secretary(eu),Neutral,Neutral,Moderate
scale 110 obsessed yall think imran khan turkey,khan(ru),Fear,Negative,Bad
quickly,quickly(eu),Neutral,Neutral,Moderate
promote take online exam,promote(eu),Neutral,Neutral,Moderate
pakistan safe hand pakistan army best army world inshallah leadership prime minister imran khan pakistan defeat crisis also face internal enemy force,khan(ru),Fear,Negative,Bad
indian muslim didnt burnt effigy musharraf kargil attack indian muslim didnt slap effigy nawaz shariff mumbai terror attack indian muslim didnt walk pic imran khan pulwama attack,khan(ru),Fear,Negative,Bad
ashiqy rasool imran khan sahib samny kahan islamic rayasat madina,rasool(ru),Trust,Positive,Good
france product,product(eu),Neutral,Neutral,Moderate
diamerbhasha dam vital project country generate power store water also enhance life tarbela dam also help provide job opportunity prime minister imran khan,khan(ru),Fear,Negative,Bad
cmit,lex not found,Neutral,Neutral,Moderate
imran khan hmare hqooq hme dilwae hmari army cheaf request alal adalat request kindly hmare apeel sune,khan(ru),Fear,Negative,Bad
imran khan speech pause reply deta usy,khan(ru),Fear,Negative,Bad
rajanpur university bno imran khan sardar usman buzdar hmre ilaq punjab sardar ahmad ali khan request buzdar manwain,khan(ru),Fear,Negative,Bad
cant risk life going college single corona positive tesred patient infect others around increase corona virus even,aground(ru),Fear,Negative,Bad
naveed akbar support prime minister islamic republic pakistan imran khan,khan(ru),Fear,Negative,Bad
imran khan,khan(ru),Fear,Negative,Bad
support prime minister islamic republic pakistan imran khan,khan(ru),Fear,Negative,Bad
inflation peak tiger force supposed zoo still trust,inflation(eu),Fear,Negative,Bad
imran khan exposing traitor,khan(ru),Fear,Negative,Bad
attention imran khan purchase solar electricity common pakistan thru smart meter pay price shortage electricity end employment increase,khan(ru),Fear,Negative,Bad
alhamdulillah past ruler thief corrupt also plunderer traitor,alhamdulillah(ru),Anticipation,Positive,Good
pmln leader criticise leader creating corona fund imran khan rich sharif family bhutto family announced fund asking worker shame shahbaz sharif,khan(ru),Fear,Negative,Bad
muhammad ashfaq support prime minister islamic republic pakistan imran khan,khan(ru),Fear,Negative,Bad
show imran khan crossed limit crating racism among people pakistan supporting racist antipakistani people start hating pmln dirty politics want pakistan army,khan(ru),Fear,Negative,Bad
indeed huge responsibility shoulder pull nation slavery sharif family,huge(eu),Neutral,Neutral,Moderate
indeed huge responsibility shoulder pull nation slavery sharif family,huge(eu),Neutral,Neutral,Moderate
pakistan need take action international issue show initiative cant talk must ban french product record narrative time show maccron power,action(eu),Neutral,Positive,Moderate
pakistan need take action international issue show initiative cant talk must ban french product record narrative time show macron power,action(eu),Neutral,Positive,Moderate
pakistan former cricketer bowler expose imran khan said imran drug addict since 1987,khan(ru),Fear,Negative,Bad
chant slogan want make state madina still french foreign minister cant send back france respect honour beloved prophet,chant(eu),Anger,Positive,Bad
pakistan supported terrorist created mayhem kabul killing score people security force kill terrorist,score(ru),Anticipation,Positive,Good
pok bsdk,lex not found,Neutral,Neutral,Moderate
prime minister imran khan friday said involved looting plundering face law held accountable,khan(ru),Fear,Negative,Bad
play chess let fun begin,fun(ru),Anticipation,Positive,Good
good thing china modifying islam book wholeheartedly support,good(eu),Anticipation,Positive,Good
show imran khan crossed limit crating racism among people pakistan supporting racist antipakistani people start hating pmln dirty politics want pakistan army,khan(ru),Fear,Negative,Bad
imran khan turkish president want new world leader muslim world accepted anti muslim country supporter called jihadis,khan(ru),Fear,Negative,Bad
